Grid	Lat/Long hddd°mm'ss.s"
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG 002	22/12/2013 9:35:35 AM 	0:28:15	31.1 km	66 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S41 05 32.6 W71 10 05.7	22/12/2013 9:54:28 AM 	1255 m			135 m	0:00:04	122 kph	181° true
Trackpoint	S41 05 36.1 W71 10 08.0	22/12/2013 9:54:32 AM 	1260 m			121 m	0:00:04	109 kph	207° true
Trackpoint	S41 05 38.1 W71 10 11.8	22/12/2013 9:54:36 AM 	1266 m			107 m	0:00:04	97 kph	235° true
Trackpoint	S41 05 38.3 W71 10 17.1	22/12/2013 9:54:41 AM 	1271 m			124 m	0:00:05	89 kph	267° true
Trackpoint	S41 05 36.8 W71 10 20.9	22/12/2013 9:54:45 AM 	1275 m			101 m	0:00:04	91 kph	298° true
Trackpoint	S41 05 33.3 W71 10 24.4	22/12/2013 9:54:50 AM 	1279 m			134 m	0:00:05	97 kph	323° true
Trackpoint	S41 05 23.8 W71 10 29.5	22/12/2013 9:55:01 AM 	1284 m			318 m	0:00:11	104 kph	338° true
Trackpoint	S41 05 10.3 W71 10 34.3	22/12/2013 9:55:15 AM 	1293 m			430 m	0:00:14	111 kph	345° true
Trackpoint	S41 04 56.1 W71 10 36.7	22/12/2013 9:55:29 AM 	1308 m			444 m	0:00:14	114 kph	353° true
Trackpoint	S41 04 42.7 W71 10 37.0	22/12/2013 9:55:42 AM 	1319 m			415 m	0:00:13	115 kph	359° true
Trackpoint	S41 04 36.4 W71 10 35.3	22/12/2013 9:55:48 AM 	1323 m			199 m	0:00:06	119 kph	11° true
Trackpoint	S41 04 29.2 W71 10 30.2	22/12/2013 9:55:55 AM 	1325 m			253 m	0:00:07	130 kph	28° true
Trackpoint	S41 04 24.3 W71 10 25.8	22/12/2013 9:56:00 AM 	1327 m			183 m	0:00:05	132 kph	34° true
Trackpoint	S41 04 20.9 W71 10 18.7	22/12/2013 9:56:05 AM 	1326 m			196 m	0:00:05	141 kph	58° true
Trackpoint	S41 04 20.9 W71 10 13.3	22/12/2013 9:56:08 AM 	1328 m			125 m	0:00:03	150 kph	89° true
Trackpoint	S41 04 22.4 W71 10 08.5	22/12/2013 9:56:11 AM 	1334 m			122 m	0:00:03	146 kph	112° true
Trackpoint	S41 04 25.0 W71 10 05.2	22/12/2013 9:56:14 AM 	1337 m			112 m	0:00:03	134 kph	137° true
Trackpoint	S41 04 29.2 W71 10 04.0	22/12/2013 9:56:18 AM 	1339 m			133 m	0:00:04	119 kph	168° true
Trackpoint	S41 04 31.8 W71 10 05.5	22/12/2013 9:56:21 AM 	1340 m			89 m	0:00:03	107 kph	204° true
Trackpoint	S41 04 33.2 W71 10 08.4	22/12/2013 9:56:24 AM 	1344 m			80 m	0:00:03	96 kph	238° true
Trackpoint	S41 04 33.2 W71 10 11.7	22/12/2013 9:56:27 AM 	1350 m			76 m	0:00:03	91 kph	271° true
Trackpoint	S41 04 31.2 W71 10 15.4	22/12/2013 9:56:31 AM 	1350 m			105 m	0:00:04	95 kph	306° true
Trackpoint	S41 04 27.1 W71 10 16.5	22/12/2013 9:56:35 AM 	1351 m			129 m	0:00:04	116 kph	348° true
Trackpoint	S41 04 22.6 W71 10 14.8	22/12/2013 9:56:39 AM 	1354 m			145 m	0:00:04	130 kph	16° true
Trackpoint	S41 04 18.7 W71 10 10.2	22/12/2013 9:56:43 AM 	1349 m			160 m	0:00:04	144 kph	42° true
Trackpoint	S41 04 17.4 W71 10 05.0	22/12/2013 9:56:46 AM 	1348 m			128 m	0:00:03	153 kph	71° true
Trackpoint	S41 04 18.0 W71 09 59.4	22/12/2013 9:56:49 AM 	1347 m			133 m	0:00:03	159 kph	98° true
Trackpoint	S41 04 19.2 W71 09 55.8	22/12/2013 9:56:51 AM 	1347 m			92 m	0:00:02	166 kph	116° true
Trackpoint	S41 04 24.2 W71 09 50.6	22/12/2013 9:56:56 AM 	1356 m			195 m	0:00:05	140 kph	142° true
Trackpoint	S41 04 34.0 W71 09 45.0	22/12/2013 9:57:05 AM 	1358 m			330 m	0:00:09	132 kph	157° true
Trackpoint	S41 04 41.9 W71 09 37.2	22/12/2013 9:57:13 AM 	1373 m			305 m	0:00:08	137 kph	143° true
Trackpoint	S41 04 57.6 W71 09 22.3	22/12/2013 9:57:29 AM 	1389 m			598 m	0:00:16	135 kph	144° true
Trackpoint	S41 05 13.1 W71 09 09.7	22/12/2013 9:57:45 AM 	1397 m			562 m	0:00:16	126 kph	148° true
Trackpoint	S41 05 16.1 W71 09 07.8	22/12/2013 9:57:48 AM 	1394 m			103 m	0:00:03	123 kph	154° true
Trackpoint	S41 05 21.3 W71 09 07.6	22/12/2013 9:57:53 AM 	1393 m			160 m	0:00:05	115 kph	179° true
Trackpoint	S41 05 24.5 W71 09 10.5	22/12/2013 9:57:57 AM 	1396 m			119 m	0:00:04	107 kph	215° true
Trackpoint	S41 05 25.9 W71 09 12.2	22/12/2013 9:57:59 AM 	1396 m			60 m	0:00:02	107 kph	220° true
Trackpoint	S41 05 30.9 W71 09 16.3	22/12/2013 9:58:05 AM 	1400 m			181 m	0:00:06	109 kph	212° true
Trackpoint	S41 05 35.1 W71 09 19.3	22/12/2013 9:58:10 AM 	1403 m			148 m	0:00:05	106 kph	209° true
Trackpoint	S41 05 37.7 W71 09 20.9	22/12/2013 9:58:13 AM 	1404 m			89 m	0:00:03	107 kph	204° true
Trackpoint	S41 05 40.9 W71 09 23.3	22/12/2013 9:58:17 AM 	1408 m			115 m	0:00:04	103 kph	210° true
Trackpoint	S41 05 45.0 W71 09 26.1	22/12/2013 9:58:22 AM 	1413 m			142 m	0:00:05	102 kph	207° true
Trackpoint	S41 05 50.3 W71 09 28.6	22/12/2013 9:58:28 AM 	1416 m			173 m	0:00:06	104 kph	200° true
Trackpoint	S41 06 00.8 W71 09 33.7	22/12/2013 9:58:40 AM 	1426 m			347 m	0:00:12	104 kph	200° true
Trackpoint	S41 06 12.0 W71 09 36.6	22/12/2013 9:58:52 AM 	1434 m			352 m	0:00:12	106 kph	191° true
Trackpoint	S41 06 20.2 W71 09 36.3	22/12/2013 9:59:00 AM 	1442 m			255 m	0:00:08	115 kph	178° true
Trackpoint	S41 06 25.2 W71 09 33.6	22/12/2013 9:59:05 AM 	1451 m			166 m	0:00:05	120 kph	158° true
Trackpoint	S41 06 30.4 W71 09 28.0	22/12/2013 9:59:11 AM 	1454 m			207 m	0:00:06	124 kph	141° true
Trackpoint	S41 06 37.7 W71 09 17.0	22/12/2013 9:59:20 AM 	1455 m			341 m	0:00:09	136 kph	131° true
Trackpoint	S41 06 47.7 W71 09 02.7	22/12/2013 9:59:32 AM 	1461 m			457 m	0:00:12	137 kph	133° true
Trackpoint	S41 06 56.5 W71 08 48.3	22/12/2013 9:59:43 AM 	1464 m			432 m	0:00:11	141 kph	129° true
Trackpoint	S41 07 05.7 W71 08 36.1	22/12/2013 9:59:53 AM 	1470 m			402 m	0:00:10	145 kph	135° true
Trackpoint	S41 07 14.8 W71 08 26.5	22/12/2013 10:00:02 AM 	1473 m			360 m	0:00:09	144 kph	142° true
Trackpoint	S41 07 29.8 W71 08 14.0	22/12/2013 10:00:16 AM 	1460 m			546 m	0:00:14	140 kph	148° true
Trackpoint	S41 07 45.3 W71 08 03.6	22/12/2013 10:00:30 AM 	1426 m			537 m	0:00:14	138 kph	153° true
Trackpoint	S41 08 04.8 W71 07 53.3	22/12/2013 10:00:47 AM 	1394 m			648 m	0:00:17	137 kph	158° true
Trackpoint	S41 08 13.9 W71 07 51.5	22/12/2013 10:00:54 AM 	1343 m			285 m	0:00:07	146 kph	172° true
Trackpoint	S41 08 26.0 W71 07 51.3	22/12/2013 10:01:02 AM 	1302 m			376 m	0:00:08	169 kph	179° true
Trackpoint	S41 08 43.8 W71 07 52.4	22/12/2013 10:01:14 AM 	1257 m			550 m	0:00:12	165 kph	183° true
Trackpoint	S41 08 58.3 W71 07 54.6	22/12/2013 10:01:24 AM 	1188 m			451 m	0:00:10	162 kph	187° true
Trackpoint	S41 09 07.9 W71 07 58.3	22/12/2013 10:01:31 AM 	1132 m			311 m	0:00:07	160 kph	196° true
Trackpoint	S41 09 17.7 W71 08 04.9	22/12/2013 10:01:39 AM 	1061 m			339 m	0:00:08	153 kph	207° true
Trackpoint	S41 09 23.5 W71 08 11.8	22/12/2013 10:01:45 AM 	995 m			240 m	0:00:06	144 kph	222° true
Trackpoint	S41 09 26.1 W71 08 19.9	22/12/2013 10:01:50 AM 	956 m			205 m	0:00:05	148 kph	246° true
Trackpoint	S41 09 26.1 W71 08 26.9	22/12/2013 10:01:54 AM 	937 m			164 m	0:00:04	147 kph	270° true
Trackpoint	S41 09 24.2 W71 08 33.3	22/12/2013 10:01:58 AM 	909 m			161 m	0:00:04	145 kph	293° true
Trackpoint	S41 09 18.7 W71 08 46.9	22/12/2013 10:02:07 AM 	863 m			360 m	0:00:09	144 kph	298° true
Trackpoint	S41 09 14.2 W71 08 59.7	22/12/2013 10:02:16 AM 	858 m			329 m	0:00:09	132 kph	295° true
Trackpoint	S41 09 10.0 W71 09 11.9	22/12/2013 10:02:26 AM 	853 m			313 m	0:00:10	113 kph	295° true
Trackpoint	S41 09 05.5 W71 09 24.5	22/12/2013 10:02:38 AM 	850 m			322 m	0:00:12	97 kph	295° true
Trackpoint	S41 09 01.8 W71 09 35.0	22/12/2013 10:02:50 AM 	848 m			272 m	0:00:12	81 kph	295° true
Trackpoint	S41 08 59.1 W71 09 42.9	22/12/2013 10:03:01 AM 	847 m			200 m	0:00:11	66 kph	294° true
Trackpoint	S41 08 57.1 W71 09 46.9	22/12/2013 10:03:09 AM 	846 m			113 m	0:00:08	51 kph	304° true
Trackpoint	S41 08 54.7 W71 09 47.9	22/12/2013 10:03:17 AM 	845 m			78 m	0:00:08	35 kph	343° true
Trackpoint	S41 08 54.1 W71 09 47.6	22/12/2013 10:03:19 AM 	845 m			17 m	0:00:02	30 kph	18° true
Trackpoint	S41 08 52.8 W71 09 47.0	22/12/2013 10:03:25 AM 	844 m			45 m	0:00:06	27 kph	20° true
Trackpoint	S41 08 51.6 W71 09 47.1	22/12/2013 10:03:31 AM 	844 m			35 m	0:00:06	21 kph	354° true
Trackpoint	S41 08 50.4 W71 09 48.1	22/12/2013 10:03:45 AM 	844 m			45 m	0:00:14	12 kph	330° true
Trackpoint	S41 08 50.3 W71 09 48.2	22/12/2013 10:03:50 AM 	844 m			5 m	0:00:05	4 kph	321° true
