UNIX_TIMESTAMP(ts)	counts
1387625242	18
1387625244	-8
1387625246	-61
1387625249	-49
1387625251	-36
1387625253	-66
1387625256	-51
1387625259	-60
1387625261	-58
1387625264	-73
1387625266	-129
1387625269	-48
1387625272	-49
1387625274	-66
1387625276	-39
1387625278	-71
1387625281	-25
1387625283	-100
1387625285	-97
1387625288	-60
1387625290	-54
1387625292	-39
1387625295	-80
1387625297	-63
1387625300	-75
1387625302	-42
1387625304	-51
1387625307	-56
1387625309	-50
1387625311	-48
1387625313	-32
1387625316	-79
1387625318	-55
1387625320	-77
1387625323	-93
1387625325	-67
1387625328	-49
1387625330	30
1387625332	-31
1387625334	-80
1387625337	-66
1387625340	-57
1387625343	-53
1387625345	-50
1387625348	-60
1387625350	-63
1387625352	-82
1387625354	-115
1387625357	-86
1387625359	-75
1387625362	-118
1387625364	-72
1387625366	-91
1387625368	-104
1387625371	-54
1387625374	-85
1387625377	-149
1387625379	-91
1387625382	-56
1387625384	-55
1387625386	-89
1387625389	-65
1387625391	-91
1387625394	-52
1387625396	-70
1387625398	-65
1387625401	-78
1387625403	-76
1387625405	-85
1387625408	-80
1387625410	-42
1387625413	-91
1387625415	-65
1387625417	-108
1387625420	-56
1387625422	-76
1387625424	-81
1387625427	-86
1387625430	-70
1387625432	-75
1387625435	-79
1387625437	-84
1387625440	-84
1387625442	-85
1387625445	-85
1387625447	-89
1387625449	-90
1387625451	-90
1387625454	-89
1387625456	-89
1387625459	-89
1387625461	-89
1387625463	-89
1387625465	-91
1387625468	-94
1387625470	-94
1387625473	-94
1387625475	-94
1387625477	-94
1387625479	-94
1387625482	-93
1387625484	-93
1387625487	-93
1387625489	-94
1387625491	-94
1387625494	-94
1387625496	-123
1387625498	-121
1387625501	-118
1387625503	-107
1387625506	-82
1387625508	-82
1387625510	-14
1387625512	-26
1387625516	-92
1387625519	-92
1387625521	-94
1387625523	-94
1387625526	-94
1387625528	-94
1387625530	-94
1387625533	-95
1387625535	-95
1387625537	-95
1387625540	-95
1387625542	-97
1387625546	-97
1387625549	-94
1387625551	-92
1387625553	-92
1387625555	60
1387625558	-53
1387625560	-109
1387625563	-102
1387625565	-105
1387625567	-98
1387625569	-96
1387625572	-119
1387625575	-120
1387625577	-119
1387625579	-115
1387625581	-117
1387625584	-118
1387625586	-120
1387625588	-120
1387625591	-110
1387625593	-111
1387625595	-109
1387625597	-131
1387625600	-122
1387625602	-127
1387625604	-133
1387625607	-126
1387625609	-111
1387625611	-127
1387625614	-128
1387625616	-127
1387625619	-139
1387625621	-148
1387625624	-124
1387625627	-129
1387625629	-107
1387625632	-112
1387625634	-106
1387625636	-112
1387625638	-108
1387625641	-111
1387625643	-111
1387625646	-114
1387625648	-114
1387625650	-115
1387625652	-110
1387625654	-90
1387625657	-118
1387625659	-123
1387625662	-128
1387625664	-129
1387625666	-115
1387625668	-104
1387625671	-68
1387625673	-70
1387625676	-111
1387625678	-173
1387625680	-160
1387625682	-126
1387625685	-130
1387625687	-43
1387625690	-77
1387625692	-37
1387625694	-138
1387625696	-121
1387625699	-129
1387625701	-123
1387625704	-145
1387625706	-123
1387625708	-142
1387625710	-144
1387625713	-144
1387625715	-147
1387625718	-160
1387625720	-111
1387625722	-136
1387625726	-128
1387625728	-125
1387625731	-90
1387625733	-115
1387625736	-119
1387625738	-120
1387625740	-162
1387625743	-190
1387625745	-187
1387625747	-226
1387625750	-147
1387625752	-149
1387625754	-101
1387625757	-63
1387625759	-129
1387625761	-126
1387625763	-127
1387625766	-127
1387625768	-104
1387625771	-130
1387625773	-138
1387625775	-119
1387625778	-124
1387625780	-128
1387625783	-127
1387625785	-127
1387625787	-127
1387625790	-127
1387625792	-125
1387625794	-113
1387625797	-29
1387625799	-102
1387625801	-140
1387625804	-170
1387625806	-250
1387625808	-319
1387625810	157
1387625813	-354
1387625815	117
1387625818	-320
1387625820	-253
1387625822	134
1387625825	-354
1387625827	168
1387625829	-220
1387625832	-354
1387625834	109
1387625836	-293
1387625839	-115
1387625841	-118
1387625843	-113
1387625846	-122
1387625848	-106
1387625850	-117
1387625853	-117
1387625855	-118
1387625858	-118
1387625860	-121
1387625862	-122
1387625865	-122
1387625867	-127
1387625869	-133
1387625872	-123
